ID,Epic,Module,User Story,Actor,Loại FP,Độ phức tạp,Function Points
EP01-039,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn gom cụm tài sản khi zoom nhỏ để bản đồ không bị quá dày.",Người dùng,EO,Complex,7
EP01-040,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn hiển thị nhãn tên hoặc mã tài sản khi cần để hỗ trợ kiểm tra hiện trường.",Người dùng,EI,Average,4
EP01-041,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn xem ảnh đại diện của tài sản trong popup để nhận diện nhanh đối tượng thực tế.",Người dùng,EO,Average,5
EP01-042,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn tô màu tài sản theo loại hoặc mức độ ưu tiên để hỗ trợ giám sát trực quan.",Người dùng,EO,Complex,7
EP01-043,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là Cán bộ quản lý, tôi muốn chọn nhiều tài sản trên bản đồ để thực hiện xử lý hàng loạt.",Cán bộ quản lý,EI,Complex,6
EP01-044,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn xem tài sản mới cập nhật nổi bật trên bản đồ để theo dõi biến động.",Người dùng,EO,Average,5
EP01-045,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn cấu hình các trường xuất hiện trên popup tài sản để phù hợp từng vai trò sử dụng.",Người dùng,EI,Average,4
EP01-046,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn tải dữ liệu tài sản theo khu vực đang xem để tăng tốc hiển thị.",Người dùng,EIF,Complex,10
EP01-047,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn lưu cấu hình sử dụng gần nhất của Hiển thị tài sản trên bản đồ để làm việc nhanh hơn trong lần sau.",Người dùng,EI,Simple,3
EP01-048,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn xem lịch sử thao tác trong Hiển thị tài sản trên bản đồ để truy vết thay đổi khi cần.",Người dùng,EO,Average,5
EP01-049,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn export dữ liệu/kết quả từ Hiển thị tài sản trên bản đồ để chia sẻ cho bên liên quan.",Người dùng,EO,Average,5
EP01-050,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn phân quyền sử dụng Hiển thị tài sản trên bản đồ theo vai trò để đảm bảo an toàn dữ liệu.",Người dùng,EI,Complex,6
EP01-051,"EPIC-01
Hiển thị & Tương tác Bản đồ",Hiển thị tài sản trên bản đồ,"Là người dùng, tôi muốn nhận cảnh báo khi Hiển thị tài sản trên bản đồ phát sinh lỗi để xử lý kịp thời.",Người dùng,EO,Complex,7
EP01-052,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn tìm kiếm địa chỉ theo từ khóa để định vị nhanh khu vực cần xem.",Người dùng,EQ,Average,4
EP01-053,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn tìm kiếm vị trí theo tọa độ để di chuyển bản đồ chính xác tới điểm cần kiểm tra.",Người dùng,EQ,Average,4
EP01-054,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn tìm kiếm tài sản theo mã để truy xuất đúng đối tượng cần xử lý.",Người dùng,EQ,Simple,3
EP01-055,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn tìm kiếm tài sản theo tên để hỗ trợ người dùng không nhớ mã kỹ thuật.",Người dùng,EQ,Simple,3
EP01-056,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn xem gợi ý khi gõ từ khóa tìm kiếm để nhập liệu nhanh hơn.",Người dùng,EO,Average,5
EP01-057,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn tự động zoom và focus đến kết quả tìm kiếm để giảm thao tác điều hướng.",Người dùng,EO,Average,5
EP01-058,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn làm nổi bật kết quả tìm kiếm trên bản đồ để dễ phân biệt với các đối tượng khác.",Người dùng,EO,Average,5
EP01-059,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn xem danh sách nhiều kết quả trùng khớp để lựa chọn đúng tài sản hoặc địa chỉ.",Người dùng,EQ,Average,4
EP01-060,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn lưu lịch sử tìm kiếm gần đây để quay lại các vị trí thường dùng.",Người dùng,EI,Simple,3
EP01-061,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn lọc nguồn tìm kiếm theo địa chỉ hoặc tài sản để có kết quả chính xác hơn.",Người dùng,EI,Average,4
EP01-062,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn chấp nhận từ khóa không dấu khi tìm kiếm để tăng khả năng tìm thấy dữ liệu.",Người dùng,EQ,Average,4
EP01-063,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn xem lỗi rõ ràng khi không tìm thấy kết quả để biết cần điều chỉnh từ khóa.",Người dùng,EO,Simple,4
EP01-064,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn lưu cấu hình sử dụng gần nhất của Tìm kiếm địa chỉ/vị trí/tài sản để làm việc nhanh hơn trong lần sau.",Người dùng,EI,Simple,3
EP01-065,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn xem lịch sử thao tác trong Tìm kiếm địa chỉ/vị trí/tài sản để truy vết thay đổi khi cần.",Người dùng,EO,Average,5
EP01-066,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn export dữ liệu/kết quả từ Tìm kiếm địa chỉ/vị trí/tài sản để chia sẻ cho bên liên quan.",Người dùng,EO,Average,5
EP01-067,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn phân quyền sử dụng Tìm kiếm địa chỉ/vị trí/tài sản theo vai trò để đảm bảo an toàn dữ liệu.",Người dùng,EI,Complex,6
EP01-068,"EPIC-01
Hiển thị & Tương tác Bản đồ",Tìm kiếm địa chỉ/vị trí/tài sản,"Là người dùng, tôi muốn nhận cảnh báo khi Tìm kiếm địa chỉ/vị trí/tài sản phát sinh lỗi để xử lý kịp thời.",Người dùng,EO,Complex,7
EP01-069,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn lọc tài sản theo loại để tập trung vào nhóm đối tượng đang quan tâm.",Người dùng,EQ,Simple,3
EP01-070,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn lọc tài sản theo trạng thái vận hành để nhận diện nhanh đối tượng bất thường.",Người dùng,EQ,Simple,3
EP01-071,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn lọc theo quận/phường để khoanh vùng phạm vi quản lý địa bàn.",Người dùng,EQ,Average,4
EP01-072,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn lọc theo ngày cập nhật để xem các tài sản vừa thay đổi gần đây.",Người dùng,EQ,Average,4
EP01-073,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn kết hợp nhiều điều kiện lọc đồng thời để thu hẹp danh sách đúng nhu cầu.",Người dùng,EQ,Complex,6
EP01-074,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn lưu bộ lọc thường dùng thành mẫu để sử dụng lại nhanh chóng.",Người dùng,EI,Average,4
EP01-075,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn xóa toàn bộ bộ lọc chỉ với một thao tác để quay về trạng thái mặc định.",Người dùng,EI,Simple,3
EP01-076,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn hiển thị số lượng tài sản còn lại sau khi lọc để đánh giá quy mô dữ liệu.",Người dùng,EO,Average,5
EP01-077,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn đồng bộ bộ lọc giữa bản đồ và bảng dữ liệu để tránh lệch kết quả.",Người dùng,EO,Complex,7
EP01-078,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn lọc nhanh bằng cách bấm vào chú giải hoặc icon trên bản đồ.",Người dùng,EI,Average,4
EP01-079,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là Cán bộ quản lý, tôi muốn chia sẻ bộ lọc qua URL để đồng nghiệp mở cùng một ngữ cảnh dữ liệu.",Cán bộ quản lý,EO,Complex,7
EP01-080,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn xem cảnh báo khi bộ lọc quá rộng hoặc quá hẹp để điều chỉnh truy vấn phù hợp.",Người dùng,EO,Average,5
EP01-081,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn lưu cấu hình sử dụng gần nhất của Lọc hiển thị tài sản để làm việc nhanh hơn trong lần sau.",Người dùng,EI,Simple,3
EP01-082,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn xem lịch sử thao tác trong Lọc hiển thị tài sản để truy vết thay đổi khi cần.",Người dùng,EO,Average,5
EP01-083,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn export dữ liệu/kết quả từ Lọc hiển thị tài sản để chia sẻ cho bên liên quan.",Người dùng,EO,Average,5
EP01-084,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn phân quyền sử dụng Lọc hiển thị tài sản theo vai trò để đảm bảo an toàn dữ liệu.",Người dùng,EI,Complex,6
EP01-085,"EPIC-01
Hiển thị & Tương tác Bản đồ",Lọc hiển thị tài sản,"Là người dùng, tôi muốn nhận cảnh báo khi Lọc hiển thị tài sản phát sinh lỗi để xử lý kịp thời.",Người dùng,EO,Complex,7
EP01-086,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn vẽ điểm trực tiếp trên bản đồ để đánh dấu vị trí tài sản hoặc sự kiện.",Cán bộ quản lý,EI,Average,4
EP01-087,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn vẽ đường trên bản đồ để biểu diễn tuyến hạ tầng hoặc phạm vi kiểm tra.",Cán bộ quản lý,EI,Average,4
EP01-088,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn vẽ vùng trên bản đồ để xác định khu vực quản lý hoặc tác động.",Cán bộ quản lý,EI,Average,4
EP01-089,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn chỉnh sửa hình học đã vẽ bằng kéo đỉnh để hiệu chỉnh vị trí chính xác.",Cán bộ quản lý,EI,Complex,6
EP01-090,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn thêm/xóa đỉnh của đối tượng không gian để cập nhật hình dạng theo thực tế.",Cán bộ quản lý,EI,Complex,6
EP01-091,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn snap theo đối tượng lân cận khi biên tập để tránh sai lệch topology.",Cán bộ quản lý,EI,Complex,6
EP01-092,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn nhập tọa độ thủ công khi vẽ để đảm bảo độ chính xác cao.",Cán bộ quản lý,EI,Complex,6
EP01-093,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn gắn thuộc tính mô tả cho đối tượng vừa vẽ để lưu đầy đủ ngữ cảnh nghiệp vụ.",Cán bộ quản lý,EI,Average,4
EP01-094,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn hoàn tác/làm lại các bước biên tập để thao tác an toàn hơn.",Cán bộ quản lý,EI,Average,4
EP01-095,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn lưu bản nháp đối tượng đang vẽ để tiếp tục chỉnh sửa sau.",Cán bộ quản lý,EI,Average,4
EP01-096,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn kiểm tra hợp lệ hình học trước khi lưu để tránh dữ liệu lỗi.",Cán bộ quản lý,EO,Complex,7
EP01-097,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn sao chép hình học từ đối tượng hiện có để giảm thời gian số hóa.",Cán bộ quản lý,EI,Complex,6
EP01-098,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn lưu cấu hình sử dụng gần nhất của Vẽ & chỉnh sửa đối tượng không gian để làm việc nhanh hơn trong lần sau.",Cán bộ quản lý,EI,Simple,3
EP01-099,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn xem lịch sử thao tác trong Vẽ & chỉnh sửa đối tượng không gian để truy vết thay đổi khi cần.",Cán bộ quản lý,EO,Average,5
EP01-100,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn export dữ liệu/kết quả từ Vẽ & chỉnh sửa đối tượng không gian để chia sẻ cho bên liên quan.",Cán bộ quản lý,EO,Average,5
EP01-101,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn phân quyền sử dụng Vẽ & chỉnh sửa đối tượng không gian theo vai trò để đảm bảo an toàn dữ liệu.",Cán bộ quản lý,EI,Complex,6
EP01-102,"EPIC-01
Hiển thị & Tương tác Bản đồ",Vẽ & chỉnh sửa đối tượng không gian,"Là Cán bộ quản lý, tôi muốn nhận cảnh báo khi Vẽ & chỉnh sửa đối tượng không gian phát sinh lỗi để xử lý kịp thời.",Cán bộ quản lý,EO,Complex,7
EP01-103,"EPIC-01
Hiển thị & Tương tác Bản đồ",Đo khoảng cách & diện tích,"Là người dùng, tôi muốn đo khoảng cách giữa nhiều điểm trên bản đồ để ước lượng phạm vi triển khai.",Người dùng,EQ,Average,4
EP01-104,"EPIC-01
Hiển thị & Tương tác Bản đồ",Đo khoảng cách & diện tích,"Là người dùng, tôi muốn đo diện tích của một vùng để đánh giá quy mô khu vực quản lý.",Người dùng,EQ,Average,4
EP01-105,"EPIC-01
Hiển thị & Tương tác Bản đồ",Đo khoảng cách & diện tích,"Là người dùng, tôi muốn xem kết quả đo theo mét, kilômét, mét vuông hoặc hecta để thuận tiện sử dụng.",Người dùng,EO,Average,5
EP01-106,"EPIC-01
Hiển thị & Tương tác Bản đồ",Đo khoảng cách & diện tích,"Là người dùng, tôi muốn đo liên tục nhiều đoạn và hiển thị tổng chiều dài để tính toán nhanh trên hiện trường.",Người dùng,EQ,Complex,6
EP01-107,"EPIC-01
Hiển thị & Tương tác Bản đồ",Đo khoảng cách & diện tích,"Là người dùng, tôi muốn chỉnh sửa điểm đo sau khi đã đặt để cải thiện độ chính xác.",Người dùng,EI,Average,4
EP01-108,"EPIC-01
Hiển thị & Tương tác Bản đồ",Đo khoảng cách & diện tích,"Là người dùng, tôi muốn xóa kết quả đo chỉ với một thao tác để bắt đầu phép đo mới.",Người dùng,EI,Simple,3
EP01-109,"EPIC-01
Hiển thị & Tương tác Bản đồ",Đo khoảng cách & diện tích,"Là người dùng, tôi muốn bật chế độ bắt dính khi đo để kết quả sát với đối tượng bản đồ.",Người dùng,EI,Average,4
EP01-110,"EPIC-01
Hiển thị & Tương tác Bản đồ",Đo khoảng cách & diện tích,"Là người dùng, tôi muốn lưu kết quả đo vào phiên làm việc để tham chiếu lại trong quá trình xử lý.",Người dùng,EI,Simple,3
EP01-111,"EPIC-01
Hiển thị & Tương tác Bản đồ",Đo khoảng cách & diện tích,"Là người dùng, tôi muốn xuất kết quả đo kèm hình ảnh bản đồ để đưa vào báo cáo.",Người dùng,EO,Average,5
EP01-112,"EPIC-01
Hiển thị & Tương tác Bản đồ",Đo khoảng cách & diện tích,"Là người dùng, tôi muốn hiển thị nhãn khoảng cách/diện tích trực tiếp trên bản đồ để dễ theo dõi.",Người dùng,EO,Average,5
